source_id,source_name,language,country_focus,title,url,published_at,summary,section,matched_keywords
lana_21,LANA,ar,Libya,النيابة العامة تأمر بحبس وكيل وزارة الثروة البحرية ومدير الشؤون الإدارية في الوزارة ، ومندوبها لدى مفوضية (إيكات) .,https://lana.gov.ly/post.php?lang=ar&id=360574,2026-06-30T08:26:23,نشر بتاريخ: 2026-06-30 08:26:23,,
lana_21,LANA,ar,Libya,انطلاق البرنامج التدريبي المتخصص في الأنثروبولوجيا الجنائية لتعزيز القدرات الفنية بالهيئة.,https://lana.gov.ly/post.php?lang=ar&id=360572,2026-06-30T08:20:10,نشر بتاريخ: 2026-06-30 08:20:10,,
lana_21,LANA,ar,Libya,وفد من برنامج الأمم المتحدة الإنمائي يزور المركز الليبي للاستشعار عن بعد وعلوم الفضاء .,https://lana.gov.ly/post.php?lang=ar&id=360571,2026-06-30T08:16:20,نشر بتاريخ: 2026-06-30 08:16:20,,الليبي
lana,LANA,ar,Libya,وزارة الشباب : غدًا انطلاق المخيم الوطني الأول للشباب 2026,https://lana.gov.ly/post.php?lang=ar&id=360570,2026-06-30T08:13:04,نشر بتاريخ: 2026-06-30 08:13:04,,
lana,LANA,ar,Libya,البعثة الأممية: مشاركون في مسار الحوكمة يؤكدون أهمية حكومة موحدة وإطار قانوني توافقي لإنجاح الانتخابات,https://lana.gov.ly/post.php?lang=ar&id=360569,2026-06-30T08:00:14,نشر بتاريخ: 2026-06-30 08:00:14,,البعثة الأممية
al_wasat,Al Wasat,ar,Libya,انتشال قنبلة يدوية في العزيزية - بوابة الوسط,https://alwasat.ly/news/libya/523120,2026-06-30T06:39:07,انتشال قنبلة يدوية في العزيزية بوابة الوسط,,
google_news_en,Oil & Gas Middle East,en,Libya,Eni starts Sabratha production,https://www.oilandgasmiddleeast.com/news/eni-starts-sabratha-production,2026-06-30T06:30:00,Eni starts Sabratha production Oil & Gas Middle East,,
google_news_ar,Erem News,ar,Libya,هل اعتزل الشامي الفن بعد إلغاء حفله في ليبيا؟ (فيديو),https://www.eremnews.com/videos/yv6hnzp,2026-06-30T06:21:43,هل اعتزل الشامي الفن بعد إلغاء حفله في ليبيا؟ (فيديو) إرم نيوز,,ليبيا
google_news_ar,Elaph,ar,Libya,ليبيا.. إعفاء رئيس المخابرات من منصبه,https://elaph.com/Web/News/2026/06/1600344.html,2026-06-30T06:10:00,ليبيا.. إعفاء رئيس المخابرات من منصبه إيلاف,,ليبيا
al_wasat,Al Wasat,ar,Libya,بالفيديو.. مليقطة والجويفي في مقر للمخابرات بطرابلس - بوابة الوسط,https://alwasat.ly/news/libya/523117,2026-06-30T06:04:09,بالفيديو.. مليقطة والجويفي في مقر للمخابرات بطرابلس بوابة الوسط,,طرابلس
ean_libya,Ean Libya,ar,Libya,قرارات جديدة لدعم «الشركات الأجنبية» وتعزيز الاستثمار,https://www.eanlibya.com/__trashed-36/,2026-06-30T05:58:04,أفادت وزارة الاقتصاد والتجارة في حكومة الوحدة الوطنية بأن وزير الاقتصاد والتجارة اعتمد، يوم الخميس الموافق 25 يونيو 2026، عددًا... The post قرارات جديدة لدعم «الشركات الأجنبية» وتعزيز الاستثمار appeared first on عين ليبيا | آخر أخبار ليبيا .,ليبيا,ليبيا
google_news_en,Arabian Gulf Business Insight,en,Libya,Libya’s gas output to rise after NOC and Eni upgrade field,https://www.agbi.com/oil-and-gas/2026/06/libyas-gas-output-to-rise-after-noc-and-eni-upgrade-field/,2026-06-30T05:54:32,Libya’s gas output to rise after NOC and Eni upgrade field Arabian Gulf Business Insight | AGBI,,Libya
